都道府県,市区町村,年齢,性別,商品券決済日時,商品券決済金額,産業,3市町
千葉県,我孫子市,39,男性,2022/10/07 9:38,"1,760",漆器,鯖江市
福井県,敦賀市,43,女性,2022/10/07 9:57,800,和紙,越前市
福井県,鯖江市,42,女性,2022/10/07 9:59,"3,000",その他,鯖江市
千葉県,我孫子市,39,男性,2022/10/07 10:11,1,漆器,鯖江市
福井県,福井市,36,男性,2022/10/07 10:12,500,その他,鯖江市
福井県,越前市,36,女性,2022/10/07 10:14,"6,000",飲食,鯖江市
福井県,敦賀市,38,女性,2022/10/07 10:16,"6,000",飲食,鯖江市
福井県,敦賀市,43,女性,2022/10/07 10:18,"2,580",和紙,越前市
福井県,越前市,51,女性,2022/10/07 10:20,"6,000",飲食,鯖江市
鳥取県,米子市,27,男性,2022/10/07 10:20,500,その他,鯖江市
神奈川県,鎌倉市,21,女性,2022/10/07 10:24,"3,500",その他,鯖江市
福井県,福井市,45,女性,2022/10/07 10:27,"6,000",飲食,鯖江市
京都府,京都市,52,回答なし,2022/10/07 10:32,500,その他,鯖江市
京都府,京都市,42,女性,2022/10/07 10:33,500,その他,鯖江市
福井県,越前市,47,女性,2022/10/07 10:34,"5,100",飲食,鯖江市
福井県,福井市,35,男性,2022/10/07 10:36,350,眼鏡,鯖江市
福井県,越前市,34,女性,2022/10/07 10:37,"2,900",飲食,鯖江市
福井県,福井市,33,回答なし,2022/10/07 10:40,"6,000",飲食,鯖江市
福井県,丹生郡越前町,27,男性,2022/10/07 10:42,"4,000",焼物,越前町
千葉県,習志野市,51,男性,2022/10/07 10:45,"3,966",漆器,鯖江市
京都府,京都市,43,女性,2022/10/07 10:47,500,その他,鯖江市
福井県,福井市,65,女性,2022/10/07 10:48,"6,000",飲食,鯖江市
福井県,敦賀市,43,女性,2022/10/07 10:50,450,和紙,越前市
京都府,京都市,21,女性,2022/10/07 10:53,"4,000",漆器,鯖江市
福井県,越前市,38,女性,2022/10/07 10:54,"4,000",漆器,鯖江市
福井県,越前市,51,女性,2022/10/07 10:56,"6,000",飲食,鯖江市
山形県,山形市,19,女性,2022/10/07 10:58,"4,000",漆器,鯖江市
福井県,越前市,34,女性,2022/10/07 10:59,"2,500",漆器,鯖江市
大阪府,大阪市,35,女性,2022/10/07 10:59,"6,000",飲食,鯖江市
福井県,福井市,25,女性,2022/10/07 11:01,600,繊維,鯖江市
福井県,福井市,31,女性,2022/10/07 11:04,"4,000",漆器,鯖江市
福井県,勝山市,49,女性,2022/10/07 11:06,"6,000",漆器,鯖江市
千葉県,我孫子市,39,男性,2022/10/07 11:07,1,漆器,鯖江市
福井県,鯖江市,28,女性,2022/10/07 11:07,"6,000",飲食,鯖江市
愛知県,一宮市,41,男性,2022/10/07 11:11,"4,950",漆器,鯖江市
奈良県,生駒市,55,男性,2022/10/07 11:13,"1,100",眼鏡,鯖江市
滋賀県,甲賀市,25,女性,2022/10/07 11:13,"5,000",漆器,鯖江市
福井県,福井市,41,男性,2022/10/07 11:18,"7,851",その他,鯖江市
石川県,金沢市,41,女性,2022/10/07 11:24,"5,050",飲食,鯖江市
福井県,鯖江市,42,女性,2022/10/07 11:26,"1,000",その他,鯖江市
福井県,敦賀市,33,女性,2022/10/07 11:26,"6,000",飲食,鯖江市
石川県,野々市市,51,男性,2022/10/07 11:27,"6,000",飲食,鯖江市
福井県,福井市,32,女性,2022/10/07 11:29,"11,446",その他,鯖江市
福井県,敦賀市,49,女性,2022/10/07 11:29,"6,000",飲食,鯖江市
福井県,福井市,33,女性,2022/10/07 11:32,"4,100",漆器,鯖江市
香川県,高松市,26,女性,2022/10/07 11:37,"3,740",その他,鯖江市
福井県,勝山市遅羽町,68,女性,2022/10/07 11:39,"44,770",漆器,鯖江市
長野県,松本市,42,男性,2022/10/07 11:39,"5,540",その他,鯖江市
福井県,坂井市,35,男性,2022/10/07 11:39,"3,190",和紙,越前市
福井県,鯖江市,24,その他,2022/10/07 11:40,"9,000",漆器,鯖江市
福井県,鯖江市,28,女性,2022/10/07 11:42,"13,000",漆器,鯖江市
福井県,福井市,41,男性,2022/10/07 11:43,"19,800",その他,鯖江市
千葉県,我孫子市,39,男性,2022/10/07 11:44,"2,200",飲食,鯖江市
神奈川県,鎌倉市,21,女性,2022/10/07 11:45,"14,000",漆器,鯖江市
福井県,越前市,36,女性,2022/10/07 11:49,500,その他,越前市
埼玉県,志木市,21,女性,2022/10/07 11:51,"2,000",その他,鯖江市
福井県,福井市,37,男性,2022/10/07 11:53,"1,280",飲食,鯖江市
福井県,福井市,33,女性,2022/10/07 11:54,"1,048",漆器,鯖江市
神奈川県,相模原市,22,女性,2022/10/07 11:54,"2,000",漆器,鯖江市
福井県,福井市,33,女性,2022/10/07 11:54,"1,048",漆器,鯖江市
福井県,福井市,33,女性,2022/10/07 11:54,0,漆器,鯖江市
福井県,福井市,47,女性,2022/10/07 11:54,"2,500",漆器,鯖江市
奈良県,生駒市,49,女性,2022/10/07 11:55,"2,156",漆器,鯖江市
福井県,福井市,33,女性,2022/10/07 11:55,573,漆器,鯖江市
福井県,坂井市,21,男性,2022/10/07 11:56,"2,000",漆器,鯖江市
福井県,福井市,47,女性,2022/10/07 11:58,"3,500",漆器,鯖江市
埼玉県,川口市,31,回答なし,2022/10/07 11:58,"1,540",和紙,越前市
福井県,福井市,38,女性,2022/10/07 12:00,400,漆器,鯖江市
福井県,鯖江市,22,男性,2022/10/07 12:00,"6,000",漆器,鯖江市
福井県,福井市,37,男性,2022/10/07 12:00,320,飲食,鯖江市
福井県,鯖江市,45,女性,2022/10/07 12:01,"28,100",その他,鯖江市
奈良県,王寺町,22,男性,2022/10/07 12:03,"2,000",その他,鯖江市
福井県,越前市,34,女性,2022/10/07 12:04,600,漆器,鯖江市
京都府,京都市,21,女性,2022/10/07 12:04,"2,400",漆器,鯖江市
福井県,福井市,25,女性,2022/10/07 12:05,500,和紙,越前市
福井県,越前市,38,女性,2022/10/07 12:06,"3,900",漆器,鯖江市
福井県,福井市,31,女性,2022/10/07 12:08,"5,000",漆器,鯖江市
千葉県,市川市,47,男性,2022/10/07 12:08,"6,750",飲食,鯖江市
埼玉県,川口市,31,回答なし,2022/10/07 12:08,"1,100",和紙,越前市
福井県,福井市,31,女性,2022/10/07 12:11,"3,000",漆器,鯖江市
山形県,山形市,21,女性,2022/10/07 12:12,"2,000",その他,鯖江市
東京都,葛飾区,31,女性,2022/10/07 12:13,"9,000",眼鏡,鯖江市
福井県,福井市,32,男性,2022/10/07 12:13,"5,450",飲食,鯖江市
山形県,山形市,21,女性,2022/10/07 12:15,320,飲食,鯖江市
