都道府県,市区町村,年齢,性別,商品券決済日時,商品券決済金額,産業,3市町
石川県,金沢市,41,女性,2022/10/07 12:15,"3,080",和紙,越前市
福井県,鯖江市,35,男性,2022/10/07 12:15,"1,400",飲食,鯖江市
福井県,福井市,33,女性,2022/10/07 12:16,640,飲食,鯖江市
大阪府,大阪市,35,女性,2022/10/07 12:25,"3,000",その他,鯖江市
石川県,中能登町,28,女性,2022/10/07 12:26,"2,500",その他,鯖江市
福井県,越前市,63,女性,2022/10/07 12:29,"5,400",飲食,鯖江市
石川県,金沢市,41,女性,2022/10/07 12:29,"3,870",和紙,越前市
福井県,福井市,27,女性,2022/10/07 12:29,"3,500",和紙,越前市
福井県,越前市,38,女性,2022/10/07 12:30,"4,100",漆器,鯖江市
福井県,福井市,38,女性,2022/10/07 12:33,"6,000",漆器,鯖江市
福井県,勝山市,44,男性,2022/10/07 12:34,"1,400",飲食,鯖江市
大阪府,大阪市,35,女性,2022/10/07 12:36,320,飲食,鯖江市
埼玉県,小川町,32,男性,2022/10/07 12:39,"1,500",その他,鯖江市
福井県,越前市,38,女性,2022/10/07 12:40,"3,100",飲食,鯖江市
滋賀県,彦根市,20,女性,2022/10/07 12:47,"1,400",飲食,鯖江市
愛知県,一宮市,41,男性,2022/10/07 12:47,"2,000",その他,鯖江市
長野県,松本市,42,男性,2022/10/07 12:48,"3,500",その他,鯖江市
岐阜県,郡上市,43,男性,2022/10/07 12:49,"4,400",漆器,鯖江市
福井県,敦賀市,43,女性,2022/10/07 12:51,500,漆器,鯖江市
滋賀県,彦根市,21,女性,2022/10/07 12:53,850,飲食,鯖江市
山形県,山形市,21,女性,2022/10/07 12:55,"2,000",その他,鯖江市
福井県,福井市,38,女性,2022/10/07 12:55,"2,500",漆器,鯖江市
静岡県,静岡市,35,女性,2022/10/07 12:57,"2,000",その他,鯖江市
福井県,越前市,63,女性,2022/10/07 13:01,"1,000",その他,鯖江市
山形県,山形市,21,女性,2022/10/07 13:03,500,その他,鯖江市
福井県,越前市,42,女性,2022/10/07 13:05,"3,900",飲食,鯖江市
広島県,広島市,56,女性,2022/10/07 13:07,"1,000",その他,鯖江市
福井県,敦賀市,43,女性,2022/10/07 13:08,"4,730",漆器,鯖江市
滋賀県,彦根市,20,女性,2022/10/07 13:13,500,その他,鯖江市
滋賀県,彦根市,21,女性,2022/10/07 13:13,500,その他,鯖江市
東京都,調布市,60,女性,2022/10/07 13:15,"8,580",その他,鯖江市
静岡県,静岡市,35,女性,2022/10/07 13:16,"2,310",漆器,鯖江市
埼玉県,志木市,21,女性,2022/10/07 13:16,594,和紙,越前市
福井県,鯖江市,24,その他,2022/10/07 13:17,"2,000",その他,鯖江市
宮城県,仙台市,30,女性,2022/10/07 13:20,500,その他,鯖江市
福井県,敦賀市,43,女性,2022/10/07 13:31,"2,420",漆器,鯖江市
福井県,福井市,22,女性,2022/10/07 13:32,"1,400",飲食,鯖江市
京都府,京都市,22,その他,2022/10/07 13:38,"1,500",その他,鯖江市
福井県,鯖江市,59,女性,2022/10/07 13:38,"4,400",飲食,鯖江市
神奈川県,小田原市,29,女性,2022/10/07 13:40,"2,900",眼鏡,鯖江市
千葉県,習志野市,51,男性,2022/10/07 13:40,"6,500",漆器,鯖江市
福井県,鯖江市,42,女性,2022/10/07 13:41,"2,000",漆器,鯖江市
群馬県,桐生市,25,女性,2022/10/07 13:43,500,眼鏡,鯖江市
福井県,鯖江市,38,男性,2022/10/07 13:45,"22,000",その他,鯖江市
福井県,福井市,25,女性,2022/10/07 13:46,"6,300",その他,鯖江市
福井県,鯖江市,42,女性,2022/10/07 13:48,"3,300",漆器,鯖江市
香川県,高松市,26,女性,2022/10/07 13:49,"2,260",漆器,鯖江市
福井県,鯖江市,30,男性,2022/10/07 13:49,500,その他,鯖江市
滋賀県,彦根市,45,女性,2022/10/07 13:50,"1,500",その他,鯖江市
福井県,坂井市,56,男性,2022/10/07 13:50,500,その他,鯖江市
福井県,福井市,60,男性,2022/10/07 13:51,500,その他,鯖江市
長野県,松本市,42,男性,2022/10/07 13:52,"9,680",漆器,鯖江市
福井県,鯖江市,42,女性,2022/10/07 13:55,"1,050",漆器,鯖江市
愛知県,名古屋市,51,女性,2022/10/07 13:57,"3,850",その他,鯖江市
奈良県,生駒市,55,男性,2022/10/07 13:59,"4,900",打刃物,越前市
京都府,京都市,22,その他,2022/10/07 14:00,"4,500",漆器,鯖江市
東京都,中央区,43,女性,2022/10/07 14:01,"2,200",漆器,鯖江市
埼玉県,小川町,32,男性,2022/10/07 14:02,500,その他,鯖江市
東京都,中央区,40,女性,2022/10/07 14:02,"2,200",漆器,鯖江市
愛知県,一宮市,41,男性,2022/10/07 14:03,756,その他,鯖江市
京都府,京都市左京区,24,女性,2022/10/07 14:03,"4,000",漆器,鯖江市
京都府,京都市,21,女性,2022/10/07 14:06,"1,500",漆器,鯖江市
石川県,金沢市,41,女性,2022/10/07 14:06,640,飲食,鯖江市
福井県,越前市,63,女性,2022/10/07 14:07,"2,470",打刃物,越前市
福井県,越前市,63,女性,2022/10/07 14:08,"2,470",打刃物,越前市
福井県,勝山市遅羽町,68,女性,2022/10/07 14:09,"3,230",飲食,鯖江市
鳥取県,米子市,27,男性,2022/10/07 14:10,"35,500",眼鏡,鯖江市
福井県,鯖江市,30,男性,2022/10/07 14:10,400,漆器,鯖江市
福井県,鯖江市,30,男性,2022/10/07 14:11,400,漆器,鯖江市
福井県,福井市,25,女性,2022/10/07 14:13,"1,400",飲食,鯖江市
福井県,坂井市,56,男性,2022/10/07 14:15,"1,000",その他,鯖江市
福井県,福井市,60,男性,2022/10/07 14:16,"2,000",その他,鯖江市
福井県,越前市,36,女性,2022/10/07 14:17,"1,000",その他,鯖江市
福井県,福井市,38,女性,2022/10/07 14:19,"1,702",漆器,鯖江市
奈良県,王寺町,22,男性,2022/10/07 14:19,320,飲食,鯖江市
静岡県,静岡市,35,女性,2022/10/07 14:19,"5,700",漆器,鯖江市
福井県,坂井市,40,女性,2022/10/07 14:20,"10,660",その他,鯖江市
福井県,坂井市,35,男性,2022/10/07 14:21,"2,810",眼鏡,鯖江市
福井県,鯖江市,30,男性,2022/10/07 14:22,"2,900",漆器,鯖江市
石川県,金沢市,41,女性,2022/10/07 14:23,"1,000",その他,鯖江市
福井県,鯖江市,61,女性,2022/10/07 14:23,"6,000",漆器,鯖江市
福井県,福井市,50,男性,2022/10/07 14:24,"6,000",漆器,鯖江市
福井県,福井市,23,男性,2022/10/07 14:26,"2,800",漆器,鯖江市
滋賀県,彦根市,45,女性,2022/10/07 14:27,"3,520",その他,鯖江市
東京都,豊島区,48,男性,2022/10/07 14:29,"1,000",その他,鯖江市
福井県,坂井市,40,男性,2022/10/07 14:29,"6,000",漆器,鯖江市
長野県,塩尻市,27,女性,2022/10/07 14:32,"1,000",その他,鯖江市
福井県,福井市,23,男性,2022/10/07 14:32,"2,145",漆器,鯖江市
山形県,山形市,21,女性,2022/10/07 14:32,"1,100",その他,鯖江市
広島県,広島市,56,女性,2022/10/07 14:34,700,漆器,鯖江市
福井県,鯖江市,42,女性,2022/10/07 14:34,500,漆器,鯖江市
福井県,越前市,66,女性,2022/10/07 14:35,"5,748",漆器,鯖江市
福井県,あわら市,46,女性,2022/10/07 14:35,"4,350",飲食,鯖江市
福井県,坂井市,40,女性,2022/10/07 14:35,"4,560",その他,鯖江市
東京都,荒川区,26,女性,2022/10/07 14:36,"6,000",その他,鯖江市
京都府,京都市,43,女性,2022/10/07 14:37,"4,180",その他,鯖江市
福井県,勝山市,44,男性,2022/10/07 14:39,320,飲食,鯖江市
福井県,鯖江市,42,女性,2022/10/07 14:39,400,漆器,鯖江市
福井県,福井市,55,男性,2022/10/07 14:41,"1,000",その他,鯖江市
千葉県,市川市,47,男性,2022/10/07 14:41,320,飲食,鯖江市
福井県,敦賀市,43,女性,2022/10/07 14:42,520,その他,鯖江市
福井県,鯖江市,44,女性,2022/10/07 14:42,"6,000",漆器,鯖江市
福井県,坂井市,40,女性,2022/10/07 14:43,500,その他,鯖江市
福井県,福井市,39,男性,2022/10/07 14:44,"3,812",漆器,鯖江市
福井県,福井市,39,男性,2022/10/07 14:46,"2,188",漆器,鯖江市
京都府,京都市,42,女性,2022/10/07 14:47,"2,860",その他,鯖江市
東京都,江東区,22,男性,2022/10/07 14:49,500,その他,鯖江市
福井県,福井市,36,男性,2022/10/07 14:51,"1,650",漆器,鯖江市
愛知県,春日井市,49,女性,2022/10/07 14:55,"1,700",焼物,越前町
福井県,福井市,38,男性,2022/10/07 14:56,"6,000",その他,鯖江市
京都府,京都市,43,女性,2022/10/07 14:57,500,その他,鯖江市
京都府,京都市,42,女性,2022/10/07 14:57,500,その他,鯖江市
京都府,京都市,52,回答なし,2022/10/07 14:58,500,その他,鯖江市
京都府,京都市,22,その他,2022/10/07 14:58,"5,720",漆器,鯖江市
群馬県,桐生市,25,女性,2022/10/07 15:00,"2,702",飲食,鯖江市
福井県,福井市,34,男性,2022/10/07 15:02,400,漆器,鯖江市
埼玉県,志木市,21,女性,2022/10/07 15:04,"3,080",和紙,越前市
滋賀県,彦根市,20,女性,2022/10/07 15:06,"1,500",漆器,鯖江市
滋賀県,彦根市,21,女性,2022/10/07 15:06,"1,500",漆器,鯖江市
広島県,広島市,56,女性,2022/10/07 15:07,"1,000",その他,鯖江市
福井県,越前市,32,女性,2022/10/07 15:07,"6,000",漆器,鯖江市
福井県,鯖江市,35,男性,2022/10/07 15:08,"1,650",和紙,越前市
福井県,越前市,43,女性,2022/10/07 15:09,"6,000",焼物,越前町
静岡県,静岡市,35,女性,2022/10/07 15:11,"3,300",眼鏡,鯖江市
福井県,福井市,53,女性,2022/10/07 15:11,"4,120",漆器,鯖江市
長野県,松本市,42,男性,2022/10/07 15:12,"3,630",漆器,鯖江市
福井県,福井市,25,女性,2022/10/07 15:13,"1,636",その他,鯖江市
福井県,坂井市,21,男性,2022/10/07 15:15,660,和紙,越前市
長野県,松本市,42,男性,2022/10/07 15:16,500,その他,鯖江市
福井県,福井市,53,女性,2022/10/07 15:16,400,漆器,鯖江市
愛知県,名古屋市,51,女性,2022/10/07 15:17,"2,150",漆器,鯖江市
福井県,福井市,38,女性,2022/10/07 15:24,800,和紙,越前市
福井県,鯖江市,73,女性,2022/10/07 15:25,"5,660",漆器,鯖江市
福井県,福井市,53,女性,2022/10/07 15:26,"1,400",漆器,鯖江市
福井県,丹生郡越前町,27,男性,2022/10/07 15:30,"4,120",漆器,鯖江市
東京都,江東区,22,男性,2022/10/07 15:30,500,その他,鯖江市
福井県,越前市,36,女性,2022/10/07 15:30,"4,500",その他,鯖江市
福井県,鯖江市,73,女性,2022/10/07 15:30,340,その他,鯖江市
神奈川県,相模原市,22,女性,2022/10/07 15:32,600,和紙,越前市
長野県,松本市,42,男性,2022/10/07 15:33,"1,150",その他,鯖江市
滋賀県,彦根市,20,女性,2022/10/07 15:33,"1,000",その他,鯖江市
福井県,坂井市,40,女性,2022/10/07 15:34,"1,000",その他,鯖江市
滋賀県,彦根市,21,女性,2022/10/07 15:34,"1,000",その他,鯖江市
福井県,鯖江市,42,女性,2022/10/07 15:42,750,眼鏡,鯖江市
京都府,京都市,42,女性,2022/10/07 15:44,500,その他,鯖江市
京都府,京都市,52,回答なし,2022/10/07 15:44,500,その他,鯖江市
福井県,丹生郡越前町,27,男性,2022/10/07 15:44,"7,500",漆器,鯖江市
千葉県,習志野市,51,男性,2022/10/07 15:45,"12,714",その他,鯖江市
静岡県,静岡市,35,女性,2022/10/07 15:45,"3,900",漆器,鯖江市
京都府,京都市,43,女性,2022/10/07 15:45,500,その他,鯖江市
群馬県,桐生市,25,女性,2022/10/07 15:45,320,飲食,鯖江市
滋賀県,彦根市,45,女性,2022/10/07 15:46,980,その他,鯖江市
大阪府,大阪市,49,男性,2022/10/07 15:46,"6,000",漆器,鯖江市
福井県,越前市,31,女性,2022/10/07 15:49,"3,000",漆器,鯖江市
石川県,金沢市,26,女性,2022/10/07 15:49,500,その他,鯖江市
大阪府,高石市,33,男性,2022/10/07 15:51,"4,400",漆器,鯖江市
石川県,金沢市,41,女性,2022/10/07 15:51,"4,360",漆器,鯖江市
千葉県,市川市,47,男性,2022/10/07 15:53,"4,400",漆器,鯖江市
東京都,豊島区,38,男性,2022/10/07 15:54,"6,000",漆器,鯖江市
群馬県,桐生市,25,女性,2022/10/07 15:55,500,その他,鯖江市
滋賀県,彦根市,20,女性,2022/10/07 15:56,800,その他,鯖江市
福井県,福井市,27,女性,2022/10/07 15:56,440,漆器,越前市
滋賀県,甲賀市,25,女性,2022/10/07 16:00,"4,000",漆器,鯖江市
福井県,福井市,38,女性,2022/10/07 16:00,598,和紙,越前市
福井県,鯖江市,73,女性,2022/10/07 16:00,"6,000",漆器,鯖江市
埼玉県,志木市,21,女性,2022/10/07 16:01,320,飲食,鯖江市
福井県,敦賀市,58,男性,2022/10/07 16:02,"2,200",その他,鯖江市
福井県,丹生郡越前町,27,男性,2022/10/07 16:05,"1,000",その他,鯖江市
福井県,坂井市,36,回答なし,2022/10/07 16:06,500,その他,鯖江市
福井県,福井市,22,女性,2022/10/07 16:09,"4,600",漆器,鯖江市
佐賀県,有田町,39,男性,2022/10/07 16:10,"4,180",その他,鯖江市
福井県,坂井市,40,女性,2022/10/07 16:15,"7,280",漆器,鯖江市
長野県,塩尻市,27,女性,2022/10/07 16:17,"1,000",その他,鯖江市
福井県,福井市,27,女性,2022/10/07 16:21,"2,060",和紙,越前市
佐賀県,有田町,39,男性,2022/10/07 16:25,"1,242",その他,鯖江市
広島県,広島市,56,女性,2022/10/07 16:25,"4,400",和紙,越前市
広島県,広島市,56,女性,2022/10/07 16:27,"2,750",和紙,越前市
埼玉県,志木市,21,女性,2022/10/07 16:28,6,その他,鯖江市
福井県,福井市,32,男性,2022/10/07 16:29,320,飲食,鯖江市
福井県,越前市,31,女性,2022/10/07 16:35,"1,414",漆器,鯖江市
佐賀県,有田町,33,男性,2022/10/07 16:35,"13,420",その他,鯖江市
福井県,鯖江市,38,男性,2022/10/07 16:36,"1,000",その他,鯖江市
東京都,中央区,40,女性,2022/10/07 16:38,"1,450",和紙,越前市
山形県,山形市,19,女性,2022/10/07 16:42,500,その他,鯖江市
広島県,広島市,56,女性,2022/10/07 16:42,"2,150",和紙,越前市
神奈川県,鎌倉市,21,女性,2022/10/07 16:43,"4,600",その他,鯖江市
静岡県,静岡市,35,女性,2022/10/07 16:44,500,眼鏡,鯖江市
京都府,京都市,21,女性,2022/10/07 16:45,500,その他,鯖江市
千葉県,習志野市,51,男性,2022/10/07 16:46,500,その他,鯖江市
福井県,越前市,30,女性,2022/10/07 16:47,"12,000",漆器,鯖江市
福井県,敦賀市,58,男性,2022/10/07 16:47,"3,800",眼鏡,鯖江市
神奈川県,小田原市,29,女性,2022/10/07 16:47,600,その他,鯖江市
福井県,鯖江市,35,男性,2022/10/07 16:47,500,その他,鯖江市
福井県,坂井市,36,回答なし,2022/10/07 16:48,"6,820",漆器,鯖江市
大阪府,大阪市,35,女性,2022/10/07 16:48,500,その他,鯖江市
東京都,港区,54,男性,2022/10/07 16:54,"30,000",漆器,鯖江市
佐賀県,有田町,39,男性,2022/10/07 16:54,"3,520",その他,鯖江市
京都府,京都市,52,回答なし,2022/10/07 16:56,"4,500",その他,鯖江市
京都府,京都市,42,女性,2022/10/07 16:57,"1,640",その他,鯖江市
神奈川県,横浜市,25,女性,2022/10/07 17:03,"6,000",漆器,鯖江市
兵庫県,伊丹市,30,男性,2022/10/07 17:03,"2,420",漆器,鯖江市
東京都,調布市,60,女性,2022/10/07 17:03,"1,650",和紙,越前市
岐阜県,郡上市,43,男性,2022/10/07 17:05,"2,500",漆器,鯖江市
福井県,福井市,32,女性,2022/10/07 17:05,"4,620",和紙,越前市
京都府,京都市左京区,24,女性,2022/10/07 17:10,"1,980",その他,鯖江市
埼玉県,小川町,32,男性,2022/10/07 17:12,"6,380",その他,鯖江市
滋賀県,甲賀市,25,女性,2022/10/07 17:16,990,その他,鯖江市
石川県,金沢市,26,女性,2022/10/07 17:21,500,その他,鯖江市
愛知県,一宮市,41,男性,2022/10/07 17:23,"10,294",眼鏡,鯖江市
京都府,京都市,21,女性,2022/10/07 17:25,"3,600",その他,鯖江市
福井県,坂井市,67,男性,2022/10/07 17:25,"6,000",漆器,鯖江市
東京都,渋谷区,39,男性,2022/10/07 17:27,"1,000",その他,鯖江市
福井県,坂井市,36,回答なし,2022/10/07 17:29,"4,560",その他,鯖江市
大阪府,大阪市,35,女性,2022/10/07 17:31,"2,180",その他,鯖江市
石川県,金沢市,26,女性,2022/10/07 17:33,500,その他,鯖江市
福井県,小浜市,49,男性,2022/10/07 17:38,"1,500",その他,鯖江市
神奈川県,鎌倉市,21,女性,2022/10/07 17:40,"6,050",その他,鯖江市
福井県,福井市,47,男性,2022/10/07 17:44,"6,000",眼鏡,鯖江市
福井県,鯖江市,62,女性,2022/10/07 17:46,"1,000",漆器,鯖江市
岐阜県,郡上市,43,男性,2022/10/07 17:53,"3,800",漆器,鯖江市
東京都,八王子市,22,女性,2022/10/07 17:54,"1,870",その他,鯖江市
福井県,越前市,42,女性,2022/10/07 18:01,"57,200",その他,鯖江市
福井県,福井市,36,男性,2022/10/07 18:10,"5,500",その他,鯖江市
神奈川県,小田原市,29,女性,2022/10/07 18:15,"1,740",飲食,鯖江市
京都府,京都市,22,その他,2022/10/07 18:17,280,飲食,鯖江市
福井県,鯖江市,62,女性,2022/10/07 18:29,"1,500",その他,鯖江市
福井県,鯖江市,30,女性,2022/10/07 18:38,"2,200",その他,鯖江市
千葉県,習志野市,51,男性,2022/10/07 18:42,320,その他,鯖江市
佐賀県,有田町,39,男性,2022/10/07 19:29,"3,058",飲食,鯖江市
佐賀県,有田町,33,男性,2022/10/07 19:31,"3,070",飲食,鯖江市
神奈川県,横浜市,46,女性,2022/10/08 9:46,"5,000",その他,鯖江市
神奈川県,横浜市,58,男性,2022/10/08 10:00,"1,000",その他,鯖江市
福井県,福井市,42,女性,2022/10/08 10:01,"5,000",その他,越前町
宮城県,仙台市,30,女性,2022/10/08 10:01,500,その他,鯖江市
福井県,福井市,42,女性,2022/10/08 10:01,"5,000",その他,越前町
兵庫県,伊丹市,30,男性,2022/10/08 10:05,"2,300",和紙,越前市
東京都,狛江市,32,女性,2022/10/08 10:05,320,飲食,鯖江市
福井県,鯖江市,23,男性,2022/10/08 10:06,"17,980",その他,鯖江市
福井県,越前市,52,女性,2022/10/08 10:10,"6,000",飲食,鯖江市
山形県,山形市,21,男性,2022/10/08 10:13,"7,700",漆器,鯖江市
和歌山県,和歌山市,46,男性,2022/10/08 10:15,500,その他,鯖江市
福井県,福井市,48,女性,2022/10/08 10:17,400,漆器,鯖江市
福井県,福井市,55,女性,2022/10/08 10:19,"1,000",その他,鯖江市
福井県,鯖江市,36,女性,2022/10/08 10:21,"8,800",飲食,鯖江市
福井県,福井市,38,女性,2022/10/08 10:22,300,打刃物,越前市
愛知県,岡崎市,23,女性,2022/10/08 10:22,"1,500",その他,鯖江市
福井県,福井市,48,女性,2022/10/08 10:23,"2,600",漆器,鯖江市
福井県,勝山市,37,女性,2022/10/08 10:23,"6,000",飲食,鯖江市
愛知県,春日井市,49,女性,2022/10/08 10:23,"2,090",打刃物,越前市
兵庫県,伊丹市,30,男性,2022/10/08 10:24,440,和紙,越前市
石川県,小松市,45,女性,2022/10/08 10:26,500,その他,鯖江市
福井県,福井市,33,男性,2022/10/08 10:29,320,飲食,鯖江市
大阪府,吹田市,42,男性,2022/10/08 10:30,"24,000",打刃物,越前市
神奈川県,横浜市,58,男性,2022/10/08 10:31,"1,925",その他,鯖江市
福井県,福井市,27,女性,2022/10/08 10:31,"12,000",飲食,鯖江市
福井県,鯖江市,71,女性,2022/10/08 10:31,"3,790",その他,鯖江市
福井県,福井市,47,男性,2022/10/08 10:32,"2,000",漆器,鯖江市
福井県,福井市,33,男性,2022/10/08 10:35,500,その他,鯖江市
福井県,鯖江市,60,男性,2022/10/08 10:35,"2,640",漆器,鯖江市
福井県,坂井市,47,女性,2022/10/08 10:36,320,飲食,鯖江市
岐阜県,大垣市,50,女性,2022/10/08 10:37,"4,000",漆器,鯖江市
福井県,越前市,45,男性,2022/10/08 10:37,"4,600",その他,鯖江市
福井県,福井市,44,男性,2022/10/08 10:38,"2,400",その他,鯖江市
福井県,大野市,32,男性,2022/10/08 10:39,"6,000",焼物,越前町
福井県,鯖江市,60,男性,2022/10/08 10:39,"14,200",漆器,鯖江市
滋賀県,甲賀市,25,女性,2022/10/08 10:39,500,その他,鯖江市
福井県,福井市,33,女性,2022/10/08 10:40,"3,050",飲食,鯖江市
福井県,大野市,26,男性,2022/10/08 10:42,"17,732",漆器,鯖江市
福井県,鯖江市,58,男性,2022/10/08 10:44,"1,500",その他,鯖江市
福井県,福井市,33,女性,2022/10/08 10:44,500,その他,鯖江市
福井県,鯖江市,31,女性,2022/10/08 10:45,"6,000",飲食,鯖江市
福井県,鯖江市,60,男性,2022/10/08 10:46,"23,695",漆器,鯖江市
東京都,杉並区,33,女性,2022/10/08 10:47,500,その他,鯖江市
