population_statistics,調査年,標準地域コード,町丁字コード,都道府県名,市区町村名,行政区名,大字・町名,字・丁目名,最少年齢,最大年齢,人口,男性人口,女性人口,備考
statistical_population_data_1,2010,182028,,福井県,敦賀市,,,,0,0,633,333,300,
statistical_population_data_2,2010,182028,,福井県,敦賀市,,,,1,1,621,320,301,
statistical_population_data_3,2010,182028,,福井県,敦賀市,,,,2,2,659,320,339,
statistical_population_data_4,2010,182028,,福井県,敦賀市,,,,3,3,663,355,308,
statistical_population_data_5,2010,182028,,福井県,敦賀市,,,,4,4,661,356,305,
statistical_population_data_6,2010,182028,,福井県,敦賀市,,,,5,5,602,312,290,
statistical_population_data_7,2010,182028,,福井県,敦賀市,,,,6,6,674,336,338,
statistical_population_data_8,2010,182028,,福井県,敦賀市,,,,7,7,678,346,332,
statistical_population_data_9,2010,182028,,福井県,敦賀市,,,,8,8,650,324,326,
statistical_population_data_10,2010,182028,,福井県,敦賀市,,,,9,9,708,356,352,
statistical_population_data_11,2010,182028,,福井県,敦賀市,,,,10,10,675,358,317,
statistical_population_data_12,2010,182028,,福井県,敦賀市,,,,11,11,714,389,325,
statistical_population_data_13,2010,182028,,福井県,敦賀市,,,,12,12,720,374,346,
statistical_population_data_14,2010,182028,,福井県,敦賀市,,,,13,13,719,366,353,
statistical_population_data_15,2010,182028,,福井県,敦賀市,,,,14,14,644,340,304,
statistical_population_data_16,2010,182028,,福井県,敦賀市,,,,15,15,686,372,314,
statistical_population_data_17,2010,182028,,福井県,敦賀市,,,,16,16,675,351,324,
statistical_population_data_18,2010,182028,,福井県,敦賀市,,,,17,17,695,357,338,
statistical_population_data_19,2010,182028,,福井県,敦賀市,,,,18,18,655,323,332,
statistical_population_data_20,2010,182028,,福井県,敦賀市,,,,19,19,675,354,321,
statistical_population_data_21,2010,182028,,福井県,敦賀市,,,,20,20,689,342,347,
statistical_population_data_22,2010,182028,,福井県,敦賀市,,,,21,21,728,388,340,
statistical_population_data_23,2010,182028,,福井県,敦賀市,,,,22,22,637,316,321,
statistical_population_data_24,2010,182028,,福井県,敦賀市,,,,23,23,707,344,363,
statistical_population_data_25,2010,182028,,福井県,敦賀市,,,,24,24,711,372,339,
statistical_population_data_26,2010,182028,,福井県,敦賀市,,,,25,25,746,362,384,
statistical_population_data_27,2010,182028,,福井県,敦賀市,,,,26,26,736,366,370,
statistical_population_data_28,2010,182028,,福井県,敦賀市,,,,27,27,737,361,376,
statistical_population_data_29,2010,182028,,福井県,敦賀市,,,,28,28,717,379,338,
statistical_population_data_30,2010,182028,,福井県,敦賀市,,,,29,29,842,426,416,
statistical_population_data_31,2010,182028,,福井県,敦賀市,,,,30,30,814,407,407,
statistical_population_data_32,2010,182028,,福井県,敦賀市,,,,31,31,826,417,409,
statistical_population_data_33,2010,182028,,福井県,敦賀市,,,,32,32,859,462,397,
statistical_population_data_34,2010,182028,,福井県,敦賀市,,,,33,33,882,461,421,
statistical_population_data_35,2010,182028,,福井県,敦賀市,,,,34,34,1009,515,494,
statistical_population_data_36,2010,182028,,福井県,敦賀市,,,,35,35,1010,515,495,
statistical_population_data_37,2010,182028,,福井県,敦賀市,,,,36,36,1032,526,506,
statistical_population_data_38,2010,182028,,福井県,敦賀市,,,,37,37,1106,560,546,
statistical_population_data_39,2010,182028,,福井県,敦賀市,,,,38,38,1035,520,515,
statistical_population_data_40,2010,182028,,福井県,敦賀市,,,,39,39,942,487,455,
statistical_population_data_41,2010,182028,,福井県,敦賀市,,,,40,40,930,468,462,
statistical_population_data_42,2010,182028,,福井県,敦賀市,,,,41,41,913,469,444,
statistical_population_data_43,2010,182028,,福井県,敦賀市,,,,42,42,907,471,436,
